date,payment_ref,partner,amount
2026-08-31,HOUSE CHQ DEPOSIT #2547679 CHQ 001420 QUBAA ENTER TO JAMEEL,QUBAA,1993000.00
2026-08-31,SMS Charge #5069465800,,-4.00
2026-08-31,Charges - SMS Charge #5069465800,,-1.80
2026-08-31,Real Time Gross Sett #1481935 JAMEEL VITALAC,VITALAC INTERNATIONAL LIMITED,-1993000.00
2026-08-31,Charges - Real Time Gross Sett #1481935,,-575.00
2026-08-31,SMS Charge #5069473681,,-4.00
2026-08-31,Charges - SMS Charge #5069473681,,-1.80
2026-08-31,Excise Duty,,-80.00
2026-08-31,Maintenance Fee,,-400.00
2026-08-31,Excise Duty,,-90.00
2026-08-31,Ledger Fees,,-450.00
2026-08-31,Excise Duty,,-100.00
2026-08-31,IBK Monthly Charges,,-500.00
