partner,sheet,side,bf,closing,txn_count_all,txn_count_aug
LEADWAY PETROLEUM LIMITED,LEADWAY,ap,-540000.0,-540000,0,0
SKYHAS  ENERGY LIMITED,SKYHAS,ap,1970000.0,0.0,1,1
ENWORLD HOLDING LIMITED,ENWORLD,ap,0.0,0.0,0,0
ENWORLD HOLDING LIMITED,PRIZE,ap,0.0,0.0,0,0
MUNTAZ OIL LIMITED,MUNTAZ,ap,0.0,0.0,0,0
MERI PETROLEUM LIMITED,MERI,ap,0.0,0.0,0,0
MIX OIL ELLY,MIX,ap,0.0,0.0,0,0
BETAWAY PETROLEUM LIMITED,BETAWAY,ap,0.0,0.0,0,0
DALBIT PETROLEUM LIMITED,DALBIT,ap,-539571.0,-539571,0,0
PETRO OIL KENYA LIMITED,PETRO OIL,ap,635031.0,635031,0,0
PROMPT COMMODITIES LIMITED,PROMPT,ap,0.0,0.0,0,0
TOTAL ENERGIES MARKETING,TOTAL,ap,-57180.0,-57180,0,0
GAPCO KENYA LIMITED,GAPCO,ap,122891.0,122891,0,0
GAPCO KENYA LIMITED,GAPCO IRO,ap,-1000.0,-1000,0,0
OLA ENERGIES KENYA LTD,OLA,ap,-2160.0,-3160,4,4
INDEPENDENT PETROLEUM GROUP,IPG,ap,-51659.0,-51659,0,0
TRISTAR ENERGY LIMITED,TRISTAR,ap,0.0,0.0,0,0
EUROPET,EUROPET,ap,0.0,0.0,0,0
AINUSHAMSI ENERGY LIMITED,AINUSHAMSI,ap,0.0,0.0,0,0
WNINE ENERGY LIMITED,WNINE,ap,-11200.0,-11200,0,0
TOSHA PETROLEUM  LIMITED,TOSHA,ap,0.0,0.0,0,0
QUALITY PETROLEUM,QUALITY,ap,9765000.0,7765000,1,1
QUALITY PETROLEUM,QUALITY,ar,0.0,0.0,0,0
VITALAC INTERNATIONAL  LIMITED,VITALAC,ap,24357955.0,24933455,107,107
AFTAH PETROLEUM LIMITED,AFTAH,ap,3949000.0,0.0,3,3
KOLA,KOLA,ap,0.0,0.0,0,0
PIN OIL,PIN,ap,9277500.0,9786500,4,4
OILWAVE,OILWAVE,ap,0.0,0.0,0,0
TARITA,TARITA,ap,-200000.0,-200000,0,0
COSTALINA ENERGY LIMITED,COSTALINA,ap,0.0,0.0,0,0
KENGAS KENYA LIMITED,KENGAS,ap,737631.0,737631,4,4
BROAD WAY PETROLEUM LTD,BROADWAY,ap,0.0,0.0,0,0
FOSSIL SUPPLIES  LIMITED,FOSSIL,ap,0.0,0.0,3,3
OIL HUB ENERGY LIIMITED,OIL HUB,ap,0.0,9258000,4,4
RAAD ENERGY LIMITED,RAAD,ap,0.0,0.0,13,13
SKYBARREL ENERGY LIMITED,SKYBARREL,ap,0.0,0.0,9,9
ASTROMILE ENERGY LIMITED,ASTROMILE,ap,-3171967.0,-3171967,0,0
PREMIUM ENERGY LIMITED,PREMIUM,ap,0.0,0.0,4,4
NDIMAX ENERGY LIMITED,NDIMAX,ap,0.0,0.0,0,0
BACHULAL,BACHULAL,ap,0.0,0.0,0,0
OCEAN LINE LIMITED,OCEAN LINE,ap,0.0,0.0,0,0
OCEAN LINE LIMITED,OCEAN LINE,ar,0.0,0.0,0,0
DC ENERGY LIMITED LIMITED,DC,ap,-175150.0,-175150,0,0
BE ENERGY LIMITED,BE,ap,-425452.0,-425452,0,0
TREGBA,TREGBA,ap,0.0,0.0,0,0
SERGENT LOGISTICS LTD,SERGENT,ap,0.0,0.0,0,0
OCEAN ENERGY LIMITED,OCEAN ,ap,-5000.0,-5000,0,0
WALD ENERGY LIMITED,WALD,ap,0.0,0.0,0,0
RICHARD,RICHARD,ap,0.0,0.0,0,0
FOCUS PETROLEUM LIMITED (PAYABLES),FOCUS,ap,0.0,0.0,0,0
FOCUS PETROLEUM LIMITED (PAYABLES),FOCUS,ar,0.0,0.0,0,0
TEXAS ENERGY LIMITED,TEXAS,ap,0.0,0.0,0,0
KENCOR FORT RETAIL KENYA LTD,KENCOR,ap,-4500.0,-4500,0,0
VIVO,VIVO,ap,0.0,0.0,0,0
SALMAN HOLDINGS LIMITED,SALMAN,ap,0.0,0.0,0,0
MARYAM HANDLERS,MARYAM,ap,0.0,0.0,0,0
AWDEER,AWDEER,ap,0.0,0.0,0,0
LAFEY CONSTRUCTION,LAFEY,ap,0.0,0.0,0,0
PETRO OIL KENYA LIMITED,PETRO IRSHAD,ap,0.0,0.0,0,0
DIAMOND,DIAMOND,ap,0.0,0.0,0,0
ABRAHAM MAHAT,ABRAHAM,ap,300000.0,300000,0,0
